,content
871,"Feminismo é bom, mas machismo não.. por quê?"
872,"Se não existir assedio, não há cantada, se não existir cantada, não há namoro, se não existir namoro não haverá casamento, se não existir casamento não haverá família...no fundo é mais um plano maquiavélico da esquerda contra o cristianismo e contra a família"
875,"Para cada variante que aparece criam uma nova denominação (deve ser alguma fábrica clandestina de TCCs e Teses de Mestrado...). ""Orientação Romântica""? Não! Apenas falta de polarização sexual."
876,"Eu que pensei não existir mais heróis na atualidade. Nesse caso foram 32. Machos mesmo, que enfrentam cenas fortes e passadas. Mal passadas no caso."
877,"A culpada é ela, quem mandou pintar os cabelos, se maquiar e tratar os dentes. Ora, convenhamos, né, se tivesse ficado em casa, largada feito um tribufu o marido não tinha agredido. "
878,Galanteador educadamente uma mulher não é nada de mais ! Toute lê flatteur vie au depend de celui que l'ecoute !
879,"Engraçado o silêncio da OAB. Se o juiz interfere, o advogado arma o barraco, diz que está sendo cerceado, planta nulidades e reclama pela defesa de suas prerrogativas. Se o juiz permite que o ""causídico"" faça seu teatro, é tido como responsável pela verborragia alheia. Quem opina, inclusive membros do CNJ, deveriam conhecer a realidade antes de dizer e defender bobagens. Quem tem de ser chamado a se explicar é o suprassumo do advogado."
880,"Em 'Batman vs. Superman' a atriz Amy Adams (Lois Lane) recebeu US$35 milhões, Henry Cavill, o protagonista (Superman), recebeu US$14 milhões."
881,a véia é FEIA sim ! da le mito!
882,"Enquanto as mulheres acreditarem num senhor de barba e cabelo branco sentado em um trono jugando quem ele mandará para o céu ou para inferno segundo a sua vontade, as mesmas ficarão a mercê da crueldade masculina que se acham superiores as mesmas!"
883,"É serio isso?  eu curso Nutrição e maioria da minha turma são mulheres, será que estou sofrendo por isso, não mesmo!a voce me diz ,onde está a desigualdade? vai no curso, e nutrição maioria são mulheres, vai no curso de engelharia e maioria são homens! simples assim. desigualdade querem colocar na cabeça das pessoas com essa matéria tola."
884,60% das vagas em cursos superiores são ocupados por mulheres... REALMENTE É UMA DESIGUALDADE INCRÍVEL! PAREM DE PALHAÇADA!
886," a Julia deveria fazer uma limpeza nos dentes e um clareamento, porque tá horrível desse jeito..."
890,Até que enfim alguma lucidez !
892,"Juliana Silva, mais uma vítima,da arcaica retórica do feminismo,pelo o seu comentário, ou fizeram uma lavagem cerebral ou VC tomou Sucrilhos com Gardenal no café da manhã"
894,"Esse negócio de ""assédio"" está virando é uma grande ""frescura"". Bando de ""não tem coisa melhor pra noticiar""..."
895,"Existem coisas que voce no maximo compartilha com alguém da sua extrema confiança,  pois são coisa intimas suas e não é da conta de mais ninguém,  diferente disso é querer chamar  atenção, aconselho a procurar um psicologo."
896,"Calma terra plana. Tem leis a serem seguidas. O estuprador não pode ser preso no Brasil mas o estigma segue com ele. Isto é pior do que se imagina para um cara que ainda quer ser algo no futebol. Se este assunto não foi resolvido , ele está condenado como jogador e com um futuro analista ou comentarista de futebol, isto é, acabou a carreira dele nesta área."
898,"chegara um dia em que niguem mais ira olhar e  tao pouco cantar.ai, iramsentir falta ate das piores cantadas"
899,"ela tem cem anos, e tá doida pra ganhar cantada"
902,Vai sair do hospital e volta para ele para afundar o outro lado.
903,"Verdade Julio, e quando ela sente falta de ser comida por cima ela me procura.....esse mundão ta bão D+"
906,mais um motivo pra não assistir esses péssimos pseudo jornalismos
907,"Deus ORDENA que seu povo separe as meninas virgens para virarem escravas sexuais, está na bíblia...Talvez seja hora de questionar o tipo de religião que as pessaos estão seguindo."
910,Daqui a pouco vão dizer que é preconceito porque tem poucas mulheres no estádio de futebol.  Tem poucas porque elas não gostam preferem ver novela ou programas de fofocas de celebridades. Mesma coisa em curso de exatas. Elas preferem curso de humanas. Fato!
912,Claro que Catherine Deneuve tem razão.
914,"O importante que somos especiais para DEUS, tudo está no seu controle,  o importante que DEUS criou o homem também criou a mulher ou seja macho e fêmea e a ciência fica querendo provar o contrário mas isto vai acontecer até quando DEUS permitir, quando ELE não permitir mais tudo findará .  "
915,"O feminismo termina na cantada do Brad Pitt de Ferrari, mas cantada de pedreiro cabeça quadrada, vesgo e fedorento nem pensar."
916,"Olha aí a youtuberzinha cara de jacaré tentando se promover! O cara desce o nível dele, na moral, para ser entrevistado por uma YOUTUBER e dá nisso."
919,tem alguma coisa que impedi as mulheres de entrarem na ciência 
920,Vai trabalhar!
923,Zizi Feminista e Cíntia Aparecida com certeza o que vocês gostam não é de homem...kkkkk
924,CANTAR UMA MULHER FAZ PARTE DO JOGO . VIOLENCIA É OUTRO HISTORIA
926,"Se ela queria aparecer,parabéns conseguiu com sucesso..."
930,"Quando elegeram o atual, eu imaginei que ele seria tão estúpido quanto o preso, mas ele consegue superar todos os dias. Nisso aí ele realmente é um Mito. "
931,Feminazi 
933,"Nada de bacana e so ""CONFERIR posibildade de e comerce , e so issoesta pagando um bom dinheiro para 'divulgar'"
934,Quem assistiu o planeta dos macacos vai lembrar bem com quem ela parece!
936,Engraçado uma feminista ser embaixadora da mulher na ONU kkkkk Grande mulher que defende islâmicos estupradores e assassinato de bebês
941,Achei que ela fosse inteligente mas depois dessa... Que retrocesso heim Emma?
942,"SUA REPUTAÇÃO COM SEUS FILHOS, NETOS, PARENTES, CONHECIDOS VAI FICAR MUITO  BOA! BOA SORTE EM ENCONTRAR UMA PESSOA PARA TALVEZ UM RELACIONAMENTO E ELE SABER DE SUAS AVENTURAS."
943,O cara deve pegar 3200 para se livrar deste encosto
944,"Mais uma vez o Estado querendo interferir e influenciar de maneira, ""discreta""!?, sobre a questão de gênero. Aliás, ""gênero"", é algo usado por estes ditos ""progressistas"", (que não tem nada de progressista, mas anarquista), para implementar e implantar de maneira arbitrária uma ideologia demoníaca de ""transformação"" da família nuclear. "
945,Se já não bastasse torrar o saco do capitão Bolsonaro agora vão acusar a capitã egípcia linda e maravilhosa? Deixem essa rainha em paz!!!
949,"Mulheres  são igualmente capazes, mais não querem  se meter com exatas, essa é  a verdade. Só as melhores. Todas  que conheço que fizeram exatas são  altamente competentes!"
950,"O mérito não escolhe sexo ou raça, vamos parar de hipocrisia de exigir porcentagens de mulheres, homens ou negros, o espaço se ocupa com competência e não com rostinhos bonitos ou simplesmente por ter nascido em determinado grupo. "
951,"No Brasil, daqui a pouco, vai ser crime"
952,Quando é assim a mulher ainda era feia!
955,"Não, isso é a tentativa de convencer o Fenótipo que ele é mais importante do que o genótipo !"
956,"Essa pseudo jornalista, não avisaram a ela que isso é comum de acontecer, e que ela deve saber as técnicas para conduzir uma entrevista na qual há todo o tipo de comportamento?  mas o Vin Diesel é conhecido por ser sempre divertido e brincalhão,  Essa menina é VITIMISTA.  Se eu fosse das empresas de cinema dos EUA nunca mais convidaria essa guria."
957,"Pelotas é cidade polo, exportadora de vi a do. Luh lah de Zilva "
958,"E já vai pra 3 dias que essa notícia tá na home page do G 1. Se fosse um homem pai de família que tivesse levado um p.a..u da mulher não ficaria 1 minuto . Querem sensibilizar as pessoas quando se trata de violência contra mulher apenas. Numericamente comprovado , os homens e as crianças são as verdadeiras VÍTIMAS dessa nossa sociedade . Feminismo hipócrita ."
960,"A histeria feminista tomou ares tão desproporcionais, que as mulheres que gostam de machos estão ficando incomodadas. Os homens começaram a ficar intimidados, a se afastarem delas, o que faz com que elas se sintam solitárias. Até a feminista Camille Paglia notou que o movimento deu um tiro no pé, e as mulheres que gostam de homens ""machos"", os estão perdendo, daí o porquê dos homens africanos e do Oriente Médio estarem fazendo sucesso junto às européias. "
961,ela que vá para o diabo que a carregue
962,E rica. E culta. ........e francesa.......
963,"Mas o que ela queria? Homem é assim mesmo. Trair? Homem não trai, muda de gosto apenas e pra variar, e quanto mais mulheres melhor, ora. Tinha que ficar em casa, calada e cuidando dos filhos, fazendo a comida, limpando a casa e a noite nos esperar com um jantar já pronto na mesa, e estar sempre disposta para a ""cama"" limpinha e perfumada. Esse é o papel da mulher ""OBEDIENTE"" ao marido, desde que o mundo é mundo. E ponto final."
965,Pra ficar feia...tem que melhorar muito
968,Feliz dia do vitimismo!
969,"Só porque você foi traído não quer dizer todas as mulheres traem. Muitas traem e com boa razão, mas nem todas"
970,KKKKKKKKKKK ''Napa suprema'' KKKKKKKK
974,"A questão hoje é que tudo é motivo de descriminação e machismo, eu faço fisioterapia e na minha turma só tem 2 Homens e 50 mulheres e em momento nenhum eu me vitimizo, a questão da mulher cursar ou n engenharia é somente por causa do interesse se aquilo agrada ou n a ela, se realmente tiver o interesse no curso ela vai cursar e pronto sem qualquer outro mimi.."
975,Feminazi detected ...
976,Essas mulheres deveriam consultar o marido antes de fazer essas coisas. Cada uma viu!!!!!
978,"Quanto besteirol escrito ai.Não da NADA não pessoal nem perca tempo com.isso. Policia tem mais o que fazer do que ficar investigando beijo roubado tenho familiar na policia e sei bem como funciona.O cara foi punido Pq estava em um TV aberta é mesmo assim não vai da nada demais pra ele, no máximo prestar um depoimento é ssir fora e aguardar o resultado de tudo em casa.No dia a dia não da nada mesmo não é nem a própria policia gosta de da moral pra esses casos."
979,"O cara deu um selinho na moça (não que eu ache certo beijo sem consentimento) mas da noite para o dia virou um monstro assediador com risco de ver sua carreira jogada no lixo?  Realmente está difícil , chegará um dia em que as mulheres andaram nuas nas ruas mas se um homem simplesmente olhar já será assédio com pena de prisão.  Que venha as robôs japonesas."
980,Ficou ruim assim o cabelo?
982,"Incompetente e prostituta ! Porque usou o próprio corpo para conseguir seus fins ! Obteve vantagem com isso, vendeu-se ! É prostituta ! "
984,Vocês não lutam por nada. Ficar postando abobrinhas no facebook não é lutar por nada.
985,"Concordo plenamente com vc, Valdemar. Agora , olhou para uma mulher já é estupro."
986,Que comentário PODRE dessa Elisângela. Podre e ignorante. Essa pobre coitada não tem noção de quem é Catherine Deneuve. 
987,"*********ELA E UMA VERDAEIRA DESGRAÇA!!! COLETOR SÓ SE FOR DE URINA OLHA O FORMATO, O BESTEIROLLLLLL***********"
988,Futuras lésbicas!
989,"Ela é muito feia, o cara estaxa só tirando um barato e ela se achou, kkkkkkkkkkkkkkkkkkkkk"
990,"A vida é feita de escolhas. Há escolhas que podem te levar ao sucesso, e há escolhas que podem te levar ao inferno. E a escolha que as mulheres mais fazem errado sempre é a escolha do parceiro ou namorado. Acho que noventa por cento das mulheres tem dedo podre pra escolher marido."
991,"a maioria das feministas são mulheres feias (o que não é o caso dessa), que não consegue macho e ai fica criticando "
993,Quer aparecer
994,Escolas base em são paulo é um exemplo de como a imprensa brasileira e hipócrita e irresponsável
996,Se tá se arrumando demais é porque tem outro macho na parada.. tem mais é que levar uma surra mesmo pra servir de lição.
997,"Que inocente!!  Elas percebem desde o início da relação que o cara não presta,  os sinais costumam ser evidentes.  Mas ainda assim vão. "
998,"Ajudei, ele estava com preguiça de lavar, então eu a carreguei até a cozinha para que ela lavasse, jane e melhor ir lavar a louça logo."
1000,"São as feministas que não permitem mais o ritual de conquista da parte masculina. Não se pode mais flertar. Na interpretação delas é assédio. Ser cavalheiro, em extinção,  é, para elas, tbm uma forma de assédio. "
1002,"O presidente francês foi muito educado, gentil e não citou a ficha policial da família da michele com avó ex presidiária e hoje na miséria, tio preso, mimos do queiroz..."
1006,"ué.... ""aiii ele me chamou de bonita e interrompeu meu trabalho"" saudades da época  que tinham entrevistas que nem João gordo e o Dado dolabella...  E a geração mimimi 7x1 de novo geeeeeeente!"
1007,Aí depois quero ver a galera que apoia castração química todos castradinhos arrependidos do q pediram.
1009,Então tu já tinha q tá morto Gilsimar!
1011," Homens são minoria em volei feminino: DESIGUALDADE....,por enquanto,ja tão aceitando trans no volei feminino,daqui a pouco os homens serão maiorias"
1012,"Muito bom.Pq só os homens comete crime de assédio sexual??Já vi mulher estuprar, já vi mulher casada ficar com vários homens. A mulher podê, pq o homem não pode. É pq elas escolhem .Mulher consegue e pega que elas quiserem."
1013,É melhor uma fake news do que ser baleada numa estação de trem no Chiqueiro de Janeiro.
1014,"Pelo jeito a estagiária femizinha do G1  aproveitou a oportunidade pra tentar exaltar uma aparente ""vitória"" das femilixos aqui. Pena que vocês são minoria e continuarão sendo SEMPRE, aceita que dói menos."
1017,Os portugueses costumavam olhar os dentes dos negros antes das compras. . Velho cultura 
1018,Verdade. Será que ela pagava esses homens?
1020,"E a pergunta exaltou ou criticou o feminismo? Apenas foi uma pergunta de história, não sei porque tanto mimimi a favor ou contra."
1021,Está acertadissima! Parabens Catherine
1022,"ESSE SRA. é realmente extraordinariamente FEIA!!! Você dona, que é feia e não todas as mulheres. Não existe esse negócio de ATINGIR todas as mulheres...VOCÊ QUE É FEIA, TENDEU???"
1023,Muito mimimi essas mulheres se não estão no curso é por que não querem preferem ouvi funk e senta no mangot...e 
1025,"Nada justifica, mas depois de tantos anos de casamento, esta produção toda, não era pra ele! Ela foi indiscreta!"
1026,"Ei Marcos, eu sou casado há 6 e nunca tive problema pra arranjar mulher, agora tu, esquerdista machinho beta paladino das feministas, aposto que não come nenhuma hahahahaha vive na fr13nd z0n3 né comédia... hahaha emasculado"
1028,Todo esse ódio contra o homem mas se esquecem que precisaram de um para nascer rsrsrsrsrs.
1029,"APLAUSOS  E MAIS APLAUSOS  , se o cidadão seduz ou tenta seduz alguem, se a outra pessoa n quiser diga n e sai fora , n aceite a ""sedução"" e depois fica com mimimi, eu deu pq era meu chefe mimimi... existem casos extremos , obvio que merecem denuncia, mas certeza de uns85% são aproveitadoras ... "
1031,"Não sei por que a surpresa se até Jesus Cristo que viveu  a  2 milênios era totalmente feminista quando disse que ""as intenções lascivas do coração também são consideradas  adultério""... mas esta frase foi uma advertência somente aos homens, pois as mulheres eram e são a base da moral e da ordem social."
1035,"Tão falando que olhares lânguido será considerado assédio, só uso oculos escuros."
1037,"KKKKK rapaz, essa gente desse Partido dos Tapados, fuma uma ""Macronha"" muito doida, fala em desrespeito pq dizem que a mulher feia é de fato feia, mas, outro dia a SAM (ícone nos comentários aqui) colocou uma foto dela, que, dava pra notar que ela é um pouco gor-di-nha (a ""coisa"" mais linda do MUNDOOOO) eles surtaram, perderam a linha e tomeeee desrespeito. vai entender né? Parece que só ficam normal quando tão com o bucho cheio de mortadela. eu heim."
1038,não vc não entendeu ela quer ganhar dinheiro com essa historinha se todos fizerem isso ai
1039,"A culpa sempre é dos outros ... Os homens são minorias em cursos de moda e nutrição por exemplo, e ninguém liga."
1041,"As mulheres só existem em função do homem, pois foram criadas através da costela de Adão segundo as escrituras sagradas!"
1042,...igual sua avó ?
1043,"O feminismo pra mim se aproxima do machismo. Ambos se enveredaram para a buscar uma coisa: A soberania de um sobre o outro. Da mesma forma que o machismo faz com que homens se achem superiores, o feminismo acabou, nos últimos anos, beirando ao mesmo. É assim que eu vejo."
1045,"Sexo e uma industria poderosa e rica desde o PARAISO ,produto velho e tao 'conhecido' ,sempre as mesmas as neiras das mulheres naturalmente ,sugestao finjo que nao sabe <VA LER Historia ou caso siga o con selho mais popular do mundo ,em todas as linguas ainda hoje ('fidelidade ocidental e so para confesionarios)  lavo ,passou ."
1046,O cara se mata e ainda tem gente querendo dizer que ele queria mostrar poder...é cada uma. Quem sabe as feministas não poderiam investigar o que leva o sujeito a perder a razão a ponto de matar e morrer...mostrar poder é que não é...morto não tem poder.
1047,"podem levar a  que tenho aqui, de graça"
1048,ôpa. Já apareceu uma opinião do politicamente correto. Vamos ver quantas virão
1051,"Essa moça e os blogs sensacionalistas criaram essa polêmica. Senão, ela teria dito da parte em que ela assediou o outro ator se sentando no colo dele. Isso não é postura de uma jornalista."
1052,Perguntem a alguma delas o nome de 3 romancistas brasileiros? Não vale Pedro Bial!! kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk.
1053,"Pra ser feminina tem que dançar funk ,ficar pra rua se exibindo de micro saia ou shortinho enfiado no rego,matar aula fumar umas pedrinhas e sair com todos os meninos do bairro  ,pra você isso deve significar a essência da  feminilidade ,kkkkk ."
1054,"Tem um Deputado que diz assim ' Que diabo é isso?? Vai assustar o cão diabo""!"
1059,Uma coisa é indiscutível:  Brigitte Macron não merece ser e stup rada. 
1060,sim
1061,"Esse covarde deve ser colocado atrás das grades, na cadeia com certeza vai virar mulherzinha. A pobre mulher deve receber todos os tratamentos, para recuperar a saúde, mas deve ser interrogada, para explicar o motivo de tanta vaidade  nessa idade, quando já deveria estar cuidando dos netos."
1062,Aqui o crime compensa 
1065,Eu pegava a Brigite e a Michele!
1067,"Enquanto a polícia investiga banalidades, vários casos graves ficam abandonados."
1068,"Esta correta. Esse movimento feminista precisa parar de generalizar e apontar o dedo pra quem tem culpa. Diga os nomes, este homem aqui me assediou e não todos os homens do mundo. Oprah mesmo, até agora não falou sobre seu amigo ao invés disso fica dizendo que os homens (geral) são machistas. Qualquer mulher poderia ter feito aquele discurso com mais propriedade do que ela."
1069,"Cara, o seu erro foi se desculpar por uma coisa que não merecia desculpas. Essa geração de jovens de hoje em dia é uma desgraça. Criados com vó, tomando toddynho e andando de sandália com meia. Seres humanos que preferem se vitimizar, fazer cara de coitadinhos, ao invés de brigarem pelas coisas e enfrentarem as dificuldades. Façam o favor e voltem para a casa dos pais, tomem seus toddynhos e vão dormir."
1075,"Mariela, do mesmo jeito que você morre de inveja das panicats da vida? Engraçado é que tu fala como se ele fosse te querer hahaha"
1077,"Ó Globo e seu bando de boçais... esta pessoa tem que responder, como está respondendo pelos seus atos, para a justiça... não pra opinião pública ou para esta imprensa marrom sem moral... "
1079,Só pode ser Marketing. Não é possível que algo digno de vergonha possa se transformar em motivo de orgulho. Realmente é a inversão de valores.
1084,A esquerda brasileira já declarou que Brigitte Macron é uma mulher do G R EL O DURO. Entre esquerdopatas é uma homenagem. 
1086,Mulheres!!!
1087,"Agora ela vai ficar andando nua na rua com o cartaz ""meu corpo minhas regras"" :("
1089,Isso.
1090,Isso é uma notícia ou uma tentativa de doutrinação?
1092,"Estão fazendo exatamente o que ela queria, dando ""ibope a ela"
1093,"A ex paquita Pituxa se auto mutilou para forçar prisão de seu companheiro, Elize Matsunaga cometeu o que quando ocorre com mulheres chamamos de feminicidio. Suzane Von Richthofen aproveitou-se da condição de pais serem país porque acreditava que o dinheiro deles deveria ser seu. E centenas de outros casos onde mulheres mutilam com tesouras, facas os orgãos genitais de homens por suspeita de traição ou possessividade."
1095,Nós não temos nada de importante pra se preocupar né. Vamos se preocupar com a esposa de um presidente que queria tirar a soberania Brasileira da Amazônia. A cada dia mais vejo q o problema do Brasil são os Brasileiros.
1097,"É fácil,  basta ficar bem longe delas que vc tá  salvo"
1098,"Muitas estão se garantindo na lei,e é constante elas gritarem xingar e ir pra cima,só que nem todos estao pronta a virar a outra face.VIOLENCIA GERA VIOLENCIA."
1101,Cada um com seus problemas!!!
1102,"o problema aí é ausência de Deus e a valorização da malesses da liberdade sexual. Isso é coisa de satanás, mas seus frutos vão colher. a lei da semeadura aqui na terra perdurará enquanto terra."
1105,Que exagero....querem castrar o homem hétero de todas as formas.
1106,QUANDO DAREMOS UM BASTA NESSA MACHOFOBIA????? 
1108,Um cara que apanha da mulher merece apanhar mesmo. Se uma mulher vier bater é só chutar a barriga dela que acaba a confusão 
1110,Besteira são elas que escolhem outros cursos pq não tem afinidades com essas carreiras.
1111,De novo isso ? Essa véia coroca já apareceu aqui e já sabia da história dela. Que tá acontecendo ? O livro não tá vendendo ???
1112,"o número um eu gosto sim, o número dois, nem tanto. Mas mesmo se fosse feia, vc acha que as feias não merecem respeito? "
1113,é feia.. e veia...
1114,"Se igualou a ele, ao invés de ser superior."
1116,"Putz, custou para que uma famosa falasse sobre este assunto sem frescuras feminísticas."
1119,"Na hora do vamos ver, dentro das  quatro paredes, só pelo amor á Pátria Francesa...  É colocar a Marselhesa no último volume e ficar olhando para o teto. "
1120,Quem vai querer cantar uma mina com mais pelo no suvaco doq na cabeça?
1121,Coitada. Já está apanhando apenas porque se impõe como mulher e não se vitimiza......(como grande parte das inteligentezinhas...)
1123,Que mané se desculpar. Se fazendo de vítima. VERGOOOOOOOOOOOOOOOOOOOOOOOOOONHA que tá fazendo palhaça.
1126,"Sinceramente cada dia vejo mais pessoas querendo tirar proveito das pessoas, agora elogiar é assédio?Simplesmente só vi ele tentando deixar a entrevista mais agradável.E aqui para nós ser paquerada por VAN DIESEL, só louca mesmo de não gostar.Verdade que não estamos muito acostumados com elogios, é uma situação natural, ficamos nervosos e envergonhados.Mas ele é rico né, mas vantagem e subir o degrau dá fama só com um pulo.Cuidado quanto mais alto for o tombo  também é maior."
1128,Filosofia dominou a prova de humanas
1129,Que estória linda de vida. Acho q entendi porque o marido a traía.
1134,quem pira em feminista? 
1136,Brigitte Safadenhas
1139,Tem que ouvir as que sairam comigo.... Aí vai querer receber o tratamento que ofereço a base de leite de cobra ...
1140,Parabéns. Com essa idade lembrar de 32...
1141,"Concordo quando ela fala em novo puritanismo e que isso gera um culto de ódio aos homens. Mas também pegar no joelho e insistentemente ""cantar"" alguém é demais."
1143,Quieta rende mais....
1147,"'As recentes denuncias colocam a mulher como vitima e como incapaz de se defender'... e digo mais, colocam a mulher como alguém que odeia ser cortejada e assediada (n precisa explicar, né?)..."
1148,"A Tiazona, dez anos mais velha que o ""marido"", deve ter cortado a mesada dele e foi se arrumar. Cortou o cabelo e pintou e ainda consertou os dentes - Pode dar pro cara, mas não precisa botar o inútil dentro de casa..."
1151,BOLSONARO 2018
1156,"Ela sentando no colo de Jason Momoa, vulgo Khal Drogo de Game of Thrones  aí ela gostou não é? O nível dessa oportunista está registrado é só acessar no YouTube."
1157,"Quem paga o motel é minha namorada. Vou na boa, de carro com ela dirigindo. Quem toma pílula para não engravidar é ela.  Ela ainda me come por cima e diz que está dominando a relação. Adoro!!! Pode continuar mandando. Hehehhehehehehhe"
1158,Mimimi. É só se inscrever no curso e termina-lo. Esse negócio de que tem menos mulher aqui ou ali é porque a mesmas não se interessam. Isso é papo de feminista.
1159,"AAAA !PARA D  CAO , DOIDA PRA SER POSSUIDA !!!!AAAA FALA SERIO ! KKKKKKKKKKK"
1164,fazer sexo de baixa qualidade só por fazer agora virou motivo de orgulho e empoderamento rsrsrse é sexo por fazer sim senão ela não teria contado até 32 a contagem seria o de menos se a questão fosse mesmo a libertação e a satisfação.
1166,"Alguma vez vc  tomou conhecimento de algo que não conhecia (já na fase adulta) e passou a gostar? Concorda que às vezes pra gostar, basta conhecer? Pode ser que ao conhecer sua vida já estivesse encaminhada de outro modo e esse gosto adquirido virou passa-tempo, não trabalho. Mas e o que vc cresceu fazendo? Vc conhece/frequenta lojas de brinquedo? Já repararam que muitas se dividem em rosa e azul influenciando experiências desde a infância? Já ouviram a frase ""isso é brincadeira de menina/de menino?"" Meu trabalho está relacionado com minha vivência desde a infância... não sei o seu!"
1168,"Se um motorista bêbado atropela alguém, a bebedeira não é desculpa. Se um embriagado agride ou mata alguém, a embriaguez não é desculpa. Por que no caso de uma mulher adulta, que bebe além da conta e decide se divertir com vários homens a embriaguez é desculpa para seu comportamento ? Que os homens envolvidos nesse lamentável episódio são um lixo, está mais evidente. Pela reportagem, não foi evidenciada violência e a mulher entrou na ""brincadeira"" por vontade própria. Então, acho que não houve crime, apenas o arrependimento de uma mulher que excedeu na bebida e se envolveu com desprezíveis."
1169,"A ATITUDE NÃO FOI CORRETA, MAS A VERDADE SEJA DITA SE FOSSE UM CARA BONITO, ALTO E DE OLHOS CLAROS, DUVIDO QUE IAM DIZER QUE FOI ASSÉDIO. POR SER FEIO VIROU ASSÉDIO."
1172,"Eu só vejo mulheres feias, gordas e gordas feias reclamando de assédio... Não vejo gata reclamando de assédio... Tem algo de muito errado aí, heheheeheheh"
1177,Vocês são hipócritas demais!!!!! Como conseguem???? Todo esse moralismo porque é mulher de um Presidente... HIPOCRITAS
1181,"Que babado hein ... ? As conterrâneas de Simone de Beauvoir protestando a favor dos HOMENS , k k k k k k k  ... . Feministas não estão nenhum um pouco preocupadas com o futuro dos homens , são misândricas e não procuram ""igualdade"" com eles, pelo contrário, subjugam e desafiam a inteligência masculina. É um movimento sinistro e diabólico, não é a toa que as verdadeiras feministas amam Mitologia Grega Romana ..."
1182,2- Feminicidas e problemas psicologicos: Já não é de hoje que venho propondo uma mudança de abordagem em relação ao comportamento dos feminicidas. Suspeito que não seja uma mera questão de educação social o problema da violência contra mulher. Mesmo com números expressivos a maioria dos homens não é agressor de mulheres. Então porque outros são? Trata-se de uma minoria que chega as vias violentas de fato. Proponho que comecem a observar problemas psicólogicos relacionados a esses homens e que se realizem os devidos estudos cientificos.
1184,"Desenha cara, tem gente que ainda não entendeu. "
1188,"o cara tava suave , ela que foi atras dele começar a treta "
1190,Quando pararem com essa idiotice e esse mi mi mi!
1192,"Em 2015, 60% dos formados eram mulheres. Ninguém as impede de cursar áreas da ciência ou engenharia, elas simplesmente escolheram outras áreas e as cursaram."
1194,Mais mimimi? Mais blablabla? É só dar uma bronca no boy né! Qual o ganho com uma denúncia? Aumento do custo do Estado com um probleminha dessa natureza.  É melhor deixar o boy ficar quebrando a cara com as mulheres que sabem impor limites.
1195,"É muito mi mi mi, sinceramente !"
1196,Eu acredito que ela enfartou. Não tem outra explicação. 
1197,Quem diria que um dia iria concordar com a DAMARIS DA GOABEIRA. 
1199,"Exageros, abusos, crimes, devem ser enquadrados na lei. Agora, pelo que tô vendo, não dá mais pra desejar e PEDIR para algumas  mulheres que corro o risco de responder processo. As mulheres que gostam de homens estão começando a reagir. Os prostíbulos vão florescer de novo."
1200,"Ué, são minoria pq querem, pq optam por outras carreiras e outros cursos! Ou existe algum limite máximo para mulheres no vestibular desses cursos e eu não sabia?"
1202,"Isso é só mimimi dessas feminazes burras que não sabem distinguir um flerte, uma cantada de um assédio sexual."
1206,"É TUDO CULPA DOS CROMOSSOMOS!!! ... QUANTA BALELA  NESSE ASSUNTO. HOMENS E MULHERES SÃO DIFERENTES POR NATUREZA ESTUDOS COMPROVAM QUE ENQUANTO AS MULHERES SÃO MAIS PROPENSAS ÀS ÁREAS DE HUMANAS ,HOMENS SÃO MAIS INCLINADOS ÀS EXATAS... A ÚNICA DESIGUALDADE COMPROVADA NAS UNIVERSIDADES  SE REFLETE EM NÚMEROS :  55% MULHERES E 45% HOMENS.... ACHO QUE ESTÁ NA HORA DE PARAR COM ESSE VITIMISMO. NÃO TÁ NÃO! ? "
1210,Igualdade na industria por.no. As atrizes ganham muito mais que os atores..
1212,Dia internacional da MULHER não é dia internacional do FEMIB0STAN1SM0!
1213,É isso aí vovó aqui no Brasil temos o estatuto do idoso para proteger vcs.
1215,"O assunto diz respeito às mulheres. Dos 40 comentários abaixo, 30 são de homem e 10 de mulheres."
1216,É mais f3I4 do que pensei! kkk... 
1217,"nós homens temos culpa que a maior parte das mulheres hj em dia só pensa em mostrar a buzanfa e se exibir no instagram não estudam ou fingem que estudam entrando para algum curso de humanas para não serem cobradas pelos pais, é uma vergonha essa geração leite com pera."
1218,"Afinal?! Feminismo é definido por direitos iguais ou uma seita? Sim, pois é isso que matérias como essa deixam a entender."
1219,Sou a favor de criar cotas pras mulheres em time de futebol masculino...
1220,Por isso que está aumentando o número de MGTowers.
1221,"Grandes romances e relacionamentos duradouros, tiveram início com um beijo roubado...  Esse mimimi está destruindo com o flerte, com o galanteio e com a paquera....    O mundo está ficando chato demais..  Tudo vira polêmica...."
1222,"Deve ter ficado muito bonita arrumada, ou cara é muito feio."
1223,Mais uma xata pra encher o saco ..........
1224,"Pessoal, vocês lembram no que deu a guria do whatsapp que até as feministas fizeram encenação de rua gritando : tinha 50 homens em cima de mim !"
